timestamp,page,full_page_calls,poly_calls,total_calls,cost_usd
2026-06-19T15:11:14,Volume_2/1_source_pages/page_242,1,7,8,0.0120
2026-06-19T15:12:23,Volume_3/1_source_pages/page_054,1,28,29,0.0435
2026-06-19T16:14:22,Volume_2/1_source_pages/page_252,1,7,8,0.0120
2026-06-19T16:15:30,Volume_3/1_source_pages/page_055,1,28,29,0.0435
2026-06-19T19:57:54,Volume_2/1_source_pages/page_252,1,7,8,0.0120
2026-06-19T19:59:06,Volume_3/1_source_pages/page_055,1,28,29,0.0435
2026-06-20T00:43:34,Volume_2/1_source_pages/page_252,1,7,8,0.0120
2026-06-20T00:44:47,Volume_3/1_source_pages/page_055,1,28,29,0.0435
2026-06-20T04:47:43,Appendix_1/0_table_of_contents/page_001,1,1,2,0.0030
2026-06-20T04:47:49,Appendix_1/0_table_of_contents/page_002,1,3,4,0.0060
2026-06-20T04:47:49,Appendix_1/1_source_pages/page_014,1,2,3,0.0045
2026-06-20T04:48:01,Appendix_1/1_source_pages/page_006,1,5,6,0.0090
2026-06-20T04:48:05,Appendix_1/1_source_pages/page_012,1,3,4,0.0060
2026-06-20T04:48:07,Appendix_1/1_source_pages/page_016,1,9,10,0.0150
2026-06-20T04:48:08,Appendix_1/1_source_pages/page_009,1,7,8,0.0120
2026-06-20T04:48:11,Appendix_1/1_source_pages/page_005,1,7,8,0.0120
2026-06-20T04:48:14,Appendix_1/1_source_pages/page_008,1,7,8,0.0120
2026-06-20T04:48:14,Appendix_1/1_source_pages/page_013,1,9,10,0.0150
2026-06-20T04:48:16,Appendix_1/1_source_pages/page_017,1,8,9,0.0135
2026-06-20T04:48:16,Appendix_1/1_source_pages/page_011,1,9,10,0.0150
2026-06-20T04:48:17,Appendix_1/1_source_pages/page_019,1,8,9,0.0135
2026-06-20T04:48:17,Appendix_1/1_source_pages/page_021,1,1,2,0.0030
2026-06-20T04:48:20,Appendix_1/1_source_pages/page_018,1,7,8,0.0120
2026-06-20T04:48:20,Appendix_1/1_source_pages/page_007,1,10,11,0.0165
2026-06-20T04:48:21,Appendix_1/1_source_pages/page_010,1,13,14,0.0210
2026-06-20T04:48:24,Appendix_1/1_source_pages/page_015,1,13,14,0.0210
2026-06-20T04:48:27,Appendix_1/1_source_pages/page_022,1,5,6,0.0090
2026-06-20T04:48:29,Appendix_1/1_source_pages/page_020,1,7,8,0.0120
2026-06-20T04:48:30,Appendix_1/1_source_pages/page_004,1,14,15,0.0225
2026-06-20T04:48:30,Appendix_1/1_source_pages/page_025,1,1,2,0.0030
2026-06-20T04:48:31,Appendix_1/1_source_pages/page_029,1,3,4,0.0060
2026-06-20T04:48:39,Appendix_1/1_source_pages/page_023,1,8,9,0.0135
2026-06-20T04:48:41,Appendix_1/1_source_pages/page_032,1,6,7,0.0105
2026-06-20T04:48:42,Appendix_1/1_source_pages/page_026,1,6,7,0.0105
2026-06-20T04:48:45,Appendix_1/1_source_pages/page_030,1,8,9,0.0135
2026-06-20T04:48:47,Appendix_1/1_source_pages/page_024,1,7,8,0.0120
2026-06-20T04:48:47,Appendix_1/1_source_pages/page_027,1,10,11,0.0165
2026-06-20T04:48:48,Appendix_1/1_source_pages/page_039,1,5,6,0.0090
2026-06-20T04:48:55,Appendix_1/1_source_pages/page_033,1,11,12,0.0180
2026-06-20T04:48:55,Appendix_1/1_source_pages/page_037,1,6,7,0.0105
2026-06-20T04:48:56,Appendix_1/1_source_pages/page_038,1,7,8,0.0120
2026-06-20T04:48:56,Appendix_1/1_source_pages/page_028,1,12,13,0.0195
2026-06-20T04:48:57,Appendix_1/1_source_pages/page_040,1,6,7,0.0105
2026-06-20T04:49:00,Appendix_1/1_source_pages/page_035,1,11,12,0.0180
2026-06-20T04:49:01,Appendix_1/1_source_pages/page_034,1,11,12,0.0180
2026-06-20T04:49:04,Appendix_1/1_source_pages/page_042,1,7,8,0.0120
2026-06-20T04:49:04,Appendix_1/1_source_pages/page_036,1,11,12,0.0180
2026-06-20T04:49:05,Appendix_1/1_source_pages/page_031,1,16,17,0.0255
2026-06-20T04:49:06,Appendix_1/1_source_pages/page_041,1,9,10,0.0150
2026-06-20T04:49:06,Appendix_2/0_table_of_contents/page_001,1,1,2,0.0030
2026-06-20T04:49:06,Appendix_1/1_source_pages/page_044,1,3,4,0.0060
2026-06-20T04:49:08,Appendix_1/2_post_pages/page_052,1,2,3,0.0045
2026-06-20T04:49:08,Appendix_1/1_source_pages/page_046,1,5,6,0.0090
2026-06-20T04:49:08,Appendix_1/1_source_pages/page_049,1,4,5,0.0075
2026-06-20T04:49:11,Appendix_1/1_source_pages/page_043,1,8,9,0.0135
2026-06-20T04:49:15,Appendix_2/0_table_of_contents/page_002,1,3,4,0.0060
2026-06-20T04:49:17,Appendix_1/1_source_pages/page_048,1,7,8,0.0120
2026-06-20T04:49:22,Appendix_1/1_source_pages/page_050,1,9,10,0.0150
2026-06-20T04:49:27,Appendix_1/1_source_pages/page_047,1,11,12,0.0180
2026-06-20T04:49:31,Appendix_1/1_source_pages/page_051,1,11,12,0.0180
2026-06-20T04:49:31,Appendix_2/1_source_pages/page_012,1,3,4,0.0060
2026-06-20T04:49:33,Appendix_1/1_source_pages/page_045,1,17,18,0.0270
2026-06-20T04:49:50,Appendix_2/0_table_of_contents/page_005,1,17,18,0.0270
2026-06-20T04:50:04,Appendix_2/1_source_pages/page_007,1,23,24,0.0360
2026-06-20T04:50:04,Appendix_2/1_source_pages/page_018,1,10,11,0.0165
2026-06-20T04:50:11,Appendix_2/1_source_pages/page_014,1,17,18,0.0270
2026-06-20T04:50:11,Appendix_2/1_source_pages/page_008,1,24,25,0.0375
2026-06-20T04:50:15,Appendix_2/1_source_pages/page_006,1,27,28,0.0420
2026-06-20T04:50:19,Appendix_2/1_source_pages/page_022,1,2,3,0.0045
2026-06-20T04:50:24,Appendix_2/1_source_pages/page_010,1,30,31,0.0465
2026-06-20T04:50:27,Appendix_2/1_source_pages/page_013,1,26,27,0.0405
2026-06-20T04:50:31,Appendix_2/1_source_pages/page_011,1,32,33,0.0495
2026-06-20T04:50:33,Appendix_2/1_source_pages/page_009,1,34,35,0.0525
2026-06-20T04:50:35,Appendix_2/1_source_pages/page_023,1,8,9,0.0135
2026-06-20T04:50:45,Appendix_2/1_source_pages/page_015,1,30,31,0.0465
2026-06-20T04:50:49,Appendix_2/1_source_pages/page_016,1,31,32,0.0480
